factor,level,survival_rate_mean,survival_rate_std,survival_rate_count,plural_survival_mean,plural_survival_std,plural_survival_count,survivor_entropy_mean,survivor_entropy_std,survivor_entropy_count,dominant_survivor_resource_share_mean,dominant_survivor_resource_share_std,dominant_survivor_resource_share_count,attack_rate_per_1000_opportunities_mean,attack_rate_per_1000_opportunities_std,attack_rate_per_1000_opportunities_count,persistent_conflict_pair_share_mean,persistent_conflict_pair_share_std,persistent_conflict_pair_share_count,adaptation_success_rate_mean,adaptation_success_rate_std,adaptation_success_rate_count,independent_recovery_rate_mean,independent_recovery_rate_std,independent_recovery_rate_count,cooperation_duration_mean,cooperation_duration_std,cooperation_duration_count,protocol_adoption_rate_mean,protocol_adoption_rate_std,protocol_adoption_rate_count,value_convergence_mean,value_convergence_std,value_convergence_count
migration_opportunity,0.0,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
migration_opportunity,0.25,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
migration_opportunity,0.5,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
migration_opportunity,0.75,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
migration_opportunity,1.0,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
objective_update_rate,0.0,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.0,0.0,24
objective_update_rate,0.005,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.004028300947712425,0.011576207094935013,24
objective_update_rate,0.01,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.007500170498366013,0.02146469411015528,24
objective_update_rate,0.02,0.1527777777777777,0.06804138174397716,24,0.041666666666666664,0.2041241452319315,24,0.004036229358646912,0.019773404827051873,24,0.8732590808749748,0.33726698793831245,24,2.4446215971229486,2.579927257757426,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,2.0625,5.263311282089813,24,0.01388888888888888,0.03393182518027008,24,0.012164710228758162,0.03407742681962628,24
policy_mix,conditional,0.2569444444444444,0.08482956295067529,24,0.5416666666666666,0.5089773777040515,24,0.15703864791741318,0.15046884140845562,24,0.8759301915186358,0.13331856972816486,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,0.0,0.0,24,14.933680555555554,0.9535486810591235,24,0.425,0.08968544062928814,24,0.0,0.0,24
